Language,Abr,%POP_CONN,%POP_L1+L2,Internauts_%,C_PROD,CONTENTS,EU,Top_Wiki,Wiki_Score,Col_Lang,HDI,IsLatinScript
Albanian  Macro,sqi,0.08%,0.06%,77.05%,0.78,0.06%,0,0,17.96,0,0.794,1
Bashkort,bak,0.02%,0.01%,83.30%,0.94,0.02%,0,0,22.39,0,0.848,0
Belarusian,bel,0.06%,0.04%,84.61%,0.84,0.05%,0,0,18.23,0,0.807,0
Catalan,cat,0.16%,0.10%,92.88%,1.03,0.15%,0,0,13.53,0,0.88625,1
Chechen,che,0.02%,0.01%,84.03%,0.92,0.02%,0,0,20.58,0,0.793,0
Chuvash,chv,0.02%,0.01%,84.38%,0.94,0.02%,0,0,22.88,0,0.835,0
Galician,glg,0.05%,0.03%,91.07%,0.91,0.04%,0,0,18.24,0,0.9,1
Kabardian,kbd,0.03%,0.02%,78.68%,0.79,0.02%,0,0,29.36,0,0.811,0
Limburgish,lim,0.02%,0.01%,91.42%,0.84,0.02%,0,0,24.27,0,0.92,1
Lombard,lmo,0.05%,0.04%,75.84%,0.88,0.04%,0,0,22.27,0,0.915,1
Macedonian,mkd,0.02%,0.02%,82.45%,0.85,0.02%,0,0,18.32,0,0.774,0
Napoletano-Calabrese,nap,0.07%,0.05%,74.39%,0.87,0.06%,0,0,24.53,0,0.856,1
Romani Macro,rom,0.02%,0.02%,79.19%,0.75,0.02%,0,0,29.18,0,0.6,1
Sardinian Macro,srd,0.02%,0.01%,74.39%,0.88,0.01%,0,0,25.57,0,0.871,1
Sicilian,scn,0.06%,0.05%,74.39%,0.87,0.05%,0,0,23.12,0,0.847,1
Tatar,tat,0.07%,0.05%,80.09%,0.99,0.07%,0,0,19.97,0,0.897,0
Ukrainian,ukr,0.37%,0.32%,71.02%,0.88,0.35%,0,0,10.51,0,0.775,0
Venetian,vec,0.10%,0.08%,74.17%,0.84,0.08%,0,0,22.31,0,0.903,1
West Flemish,vls,0.02%,0.01%,91.30%,0.86,0.02%,0,0,25.19,0,0.935,1
Norwegian,nor,0.09%,0.05%,96.89%,1.1,0.10%,0,1,12.93,1,0.959,1
Russian,rus,3.51%,2.49%,80.32%,1.07,3.76%,0,1,6.21,1,0.83,0
Bulgarian,bul,0.10%,0.08%,72.49%,0.87,0.09%,1,1,14.23,0,0.802,0
Czech,ces,0.19%,0.13%,83.13%,0.97,0.18%,1,1,11.76,0,0.892,1
Estonian Macro,est,0.02%,0.01%,89.26%,0.96,0.02%,1,0,16.13,0,0.892,1
Finnish,fin,0.09%,0.06%,92.07%,1.04,0.09%,1,1,12.15,0,0.938,1
Greek,ell,0.18%,0.13%,80.07%,1.07,0.19%,1,0,13.88,0,0.886,0
Hungarian,hun,0.18%,0.12%,84.29%,0.86,0.15%,1,1,12.28,0,0.849,1
Latvian Macro,lav,0.03%,0.02%,89.04%,0.94,0.03%,1,0,17.71,0,0.871,1
Lithuanian,lit,0.04%,0.03%,84.09%,0.91,0.04%,1,0,16.25,0,0.879,1
Polish,pol,0.58%,0.39%,87.09%,1.04,0.63%,1,1,8.83,0,0.876,1
Romanian,ron,0.33%,0.24%,79.57%,0.93,0.30%,1,0,12.96,0,0.824,1
Serbo-Croatian Macro,hbs,0.28%,0.19%,79.12%,0.86,0.23%,1,0,15.73,0,0.8165,1
Slovak,slk,0.11%,0.07%,87.64%,0.9,0.10%,1,1,15.26,0,0.857,1
Slovene,slv,0.03%,0.02%,85.94%,0.94,0.03%,1,0,16.55,0,0.913,1
Swedish,swe,0.21%,0.13%,93.94%,1.1,0.23%,1,1,10.01,0,0.942,1
Danish,dan,0.10%,0.05%,96.42%,1.05,0.10%,1,0,14.18,1,0.947,1
Dutch,nld,0.39%,0.23%,91.14%,1.08,0.41%,1,1,9.24,1,0.939,1
English,eng,15.22%,12.95%,64.86%,1.32,19.60%,1,1,0,1,0.924,1
French,fra,2.99%,2.58%,65.80%,1.12,3.33%,1,1,5.71,1,0.898,1
"German, Standard",deu,2.23%,1.39%,89.17%,1.16,2.37%,1,1,5.48,1,0.944,1
Italian,ita,0.90%,0.65%,75.83%,1.14,1.00%,1,1,7.2,1,0.889,1
Portuguese,por,3.03%,2.48%,68.43%,1.05,3.13%,1,1,8.27,1,0.863,1
Spanish,spa,6.98%,5.23%,73.72%,1.16,7.85%,1,1,5.74,1,0.899,1
